latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,type
30.66435,74.06215,335.48,0.52,0.42,2024-10-16,826,N,VIIRS,n,2,305.95,2.63,D,0
30.66495,73.90162,341.13,0.51,0.41,2024-10-16,826,N,VIIRS,n,2,308,4.77,D,0
30.66613,73.7906,335.9,0.51,0.41,2024-10-16,826,N,VIIRS,n,2,308.93,3.86,D,0
30.66648,73.69349,334.41,0.5,0.41,2024-10-16,826,N,VIIRS,n,2,307.87,1.83,D,0
30.66735,73.79227,339.3,0.51,0.41,2024-10-16,826,N,VIIRS,n,2,309.03,7.53,D,0
30.66909,75.24619,338.57,0.4,0.44,2024-10-16,826,N,VIIRS,n,2,301.52,3.5,D,0
30.67027,73.86069,333.98,0.51,0.41,2024-10-16,826,N,VIIRS,n,2,306.5,3.18,D,0
30.67663,72.90659,342.2,0.46,0.39,2024-10-16,826,N,VIIRS,n,2,309.19,6.05,D,0
30.67747,73.55863,332.5,0.5,0.41,2024-10-16,826,N,VIIRS,n,2,306.79,2.18,D,0
30.6789,73.88851,336.82,0.51,0.41,2024-10-16,826,N,VIIRS,n,2,307.23,3.92,D,0
30.68094,73.88639,334.76,0.51,0.41,2024-10-16,826,N,VIIRS,n,2,305.65,2.74,D,0
30.6862,74.00143,338.98,0.52,0.42,2024-10-16,826,N,VIIRS,n,2,306.22,3.94,D,0
30.68862,74.00276,342.71,0.52,0.41,2024-10-16,826,N,VIIRS,n,2,306.74,5.47,D,0
30.68979,73.896,335.54,0.51,0.41,2024-10-16,826,N,VIIRS,n,2,309.02,4.44,D,0
30.69003,74.00084,330.95,0.52,0.42,2024-10-16,826,N,VIIRS,l,2,305.48,3.94,D,0
30.69673,73.10339,337.69,0.47,0.4,2024-10-16,826,N,VIIRS,l,2,311.23,4.49,D,0
30.69716,73.10106,340.91,0.47,0.4,2024-10-16,826,N,VIIRS,n,2,310.47,4.77,D,0
30.69936,73.03248,335.04,0.47,0.4,2024-10-16,826,N,VIIRS,n,2,305.05,2.62,D,0
30.69993,73.55508,348.22,0.5,0.41,2024-10-16,826,N,VIIRS,n,2,310.1,6.35,D,0
30.70917,72.9908,333.93,0.47,0.4,2024-10-16,826,N,VIIRS,n,2,307.87,2.48,D,0
30.71008,73.90383,336.05,0.51,0.41,2024-10-16,826,N,VIIRS,n,2,305.63,2.75,D,0
30.71231,72.89574,334.02,0.46,0.39,2024-10-16,826,N,VIIRS,n,2,304.23,2.1,D,0
30.71382,73.93629,347.77,0.52,0.41,2024-10-16,826,N,VIIRS,n,2,310.54,8.05,D,0
30.71438,73.12581,332.79,0.47,0.4,2024-10-16,826,N,VIIRS,l,2,306.83,2.03,D,0
30.71469,72.945,335.34,0.47,0.39,2024-10-16,826,N,VIIRS,l,2,308.39,6.24,D,0
30.7198,73.78764,333.76,0.51,0.41,2024-10-16,826,N,VIIRS,n,2,307.38,2.45,D,0
30.72366,73.65773,339.15,0.5,0.41,2024-10-16,826,N,VIIRS,n,2,310.96,10.54,D,0
30.72435,72.9933,343.61,0.47,0.4,2024-10-16,826,N,VIIRS,n,2,306.18,4.16,D,0
30.7293,73.60882,341.33,0.5,0.41,2024-10-16,826,N,VIIRS,n,2,311.09,5.55,D,0
30.73292,73.93335,337.81,0.52,0.41,2024-10-16,826,N,VIIRS,n,2,306.07,4.2,D,0
30.73306,73.60822,355.98,0.5,0.41,2024-10-16,826,N,VIIRS,n,2,316.74,28.9,D,0
30.73369,73.61346,335.67,0.5,0.41,2024-10-16,826,N,VIIRS,n,2,308.63,5.01,D,0
30.73611,73.92734,333.86,0.52,0.41,2024-10-16,826,N,VIIRS,n,2,305.78,4.2,D,0
30.73744,73.61286,331.85,0.5,0.41,2024-10-16,826,N,VIIRS,l,2,306.27,5.01,D,0
30.74253,73.71922,336.75,0.5,0.41,2024-10-16,826,N,VIIRS,n,2,310.84,3.94,D,0
30.74373,73.63321,336.69,0.5,0.41,2024-10-16,826,N,VIIRS,n,2,308.03,2.22,D,0
